,Job_Title,Company_Name,Company_Link,Company_location,Company_summary,Salary
0,newEntry Level Data Analyst - 4487,ION,https://www.indeed.com/cmp/Ion,"New York, NY•Remote",Ability to quickly analyze and interpret qualitative and quantitative data.,
1,Data Analyst,Softnice Inc,,"Katy, TX",Work with a variety of data sources - extracting knowledge and actionable information from massive datasets.,"$70,000 - $80,000 a year"
2,Data Analyst - Entry Level,HotSchedules,https://www.indeed.com/cmp/Hotschedules,Remote,Interpret data to answer key strategic questions.,
3,newData Analyst,FXG Management,,"San Francisco, CA 94114 (Inner Sunset area)",Consolidate and analyze financial data.,$20 - $35 an hour
4,Data Analyst,Industrial Scientific Corporation,https://www.indeed.com/cmp/Industrial-Scientific-Corporation,Remote,Understand data across systems and identify needed data elements for data analysis and data modeling.,"$100,000 - $120,000 a year"
5,newData Mining Analyst,Our Future Reads,,Remote,Commitment: *Part-time 5-10 hours per week.,
6,newData Analyst (Contractor),Mountain Capital Partners,,Remote,Data analyst experience a plus.,$50 - $75 an hour
7,newData Analyst,Innovative Results,,"Washington, DC 20011 (Catholic University-Brookland area)",The data analyst will provide data support services that?,$50 an hour
8,newESI Data Analyst,"Legility, LLC","https://www.indeed.com/cmp/Legility,-LLC",Remote,Resolve or elevate issues that arise during data processing requests.,
9,Data Analyst,"Zartico, Inc.",,Remote,"Proven history of understanding data, finding insights and utilizing data to drive business strategy.",
10,Data Analyst,Braintrust,https://www.indeed.com/cmp/Braintrust,Remote,View all Braintrust jobs in Remote - Remote jobs,$40 - $60 an hour
11,newData Analyst,"Harris & Harris, Ltd.","https://www.indeed.com/cmp/Harris-&-Harris,-Ltd.",Remote,Proven work experience as a data analyst or related role.,"$36,000 a year"
12,newData Analyst/ Engineer/ Entry Level,PCS Global Tech,,"New York, NY•Temporarily Remote","Provides plan with data, reporting and analyses that enable data driven decision making.","$60,000 - $70,000 a year"
13,Data Analyst,Craneware,https://www.indeed.com/cmp/Craneware,Remote,"Working experience as a data analyst, business data analyst, programmer, or a demonstrated aptitude for the role.",
14,Data Analyst - Oklahoma City,CDC Foundation ( Contract),,+17 locationsRemote,"Perform basic data management, data cleaning and statistical analysis using SAS, R, or other statistical programming language on COVID-19 data to complete data…","$66,000 - $72,000 a year"
